7,Olympiaturm, The Olympic Tower (German: Olympiaturm) in the Olympic Park Munich was built for the 1972 Summer Olympics. It has an overall height of 291 m and a weight of 52500 tons. At a height of 190 m there is an observation platform as well as a small rock and roll museum housing various memorabilia which is signposted as Rock Museum outside the entrance. Since its opening in 1968 the tower has registered over 35 million visitors (as of 2004).
8,Munsusan (Ulsan), Munsusan is a mountain located in Ulju County and Nam-gu Ulsan South Korea. It has an elevation of 600 m (1969 ft).
11,Tristellateia, Tristellateia is a genus in the Malpighiaceae a family of about 75 genera of flowering plants in the order Malpighiales. Species of this genus are woody vines or sometimes shrubs with twining branches. Tristellateia includes one species in eastern Africa (T. africkanus S. Moore); a second species (T. australasiae A. Rich.) is widespread in southeastern Asia and also commonly cultivated as an ornamental. All other species are endemic to Madagascar.
10,White-bibbed Swallow, The White-bibbed Swallow (Hirundo nigrita) also known as the White-throated Blue Swallow is a species of bird in the Hirundinidae family. It is found in Angola Benin Cameroon Central African Republic Republic of the Congo Democratic Republic of the Congo Ivory Coast Equatorial Guinea Gabon Ghana Guinea Guinea-Bissau Liberia Nigeria Sierra Leone and Uganda.
8,Cheat Lake, Cheat Lake is a 13-mile (21 km) long reservoir on the Cheat River in Monongalia County West Virginia USA. It was originally named Lake Lynn but the Board on Geographic Names officially decided upon Cheat Lake as the reservoir's name in 1976. The surface area of Cheat Lake is about 1730 acres (700 ha). The volume is approximately 128.016 cubic kilometers.[citation needed] It is located immediately downstream of the 10-mile long Cheat Canyon.
12,Conumber E:P, Conumber E:P is the first release by Tom Jenkinson under the alias Squarepusher. The album was pressed as a 12 vinyl the first release on the Spymania label.Conumber Eviscerate and Male Pill 5 were later released on the Squarepusher compilation Burningn'n Tree. Eviscerate (Version) also appears on the album in a truncated form.
6,Volkswagen Golf Mk5, The Volkswagen Golf Mk5 (also known as the VW Typ 1K) is a compact car the fifth generation of the Volkswagen Golf and the successor to the Volkswagen Golf Mk4. Built on the Volkswagen Group A5 (PQ35) platform it was unveiled at the Frankfurt Motor Show in October 2003 and went on sale in Europe one month later. It reached North American markets in June 2006 rebadged with the revived Rabbit nameplate.The Golf Mk5 was replaced in 2009 by the Mk6.
8,Boyer River, The Boyer River is a tributary of the Missouri River 118 miles (190 km) long in western Iowa in the United States. Most reaches of the river's course have been straightened and channelized.The Boyer River is named for a settler who hunted and trapped in the watershed before the time of Lewis and Clark. Explorers including Lewis and Clark John James Audubon and Prince Maximilian zu Wied-Neuwied navigated through the region near the mouth of the Boyer as they traveled up the Missouri River.
10,Longitarsus ventricosus, Longitarsus ventricosus is a species of beetle in the subfamily Galerucinae that can be found in France and Northern Spain.
10,Aeolostoma, Aeolostoma is a genus of moths belonging to the subfamily Tortricinae of the family Tortricidae.
13,Nancy Wake (miniseries), Nancy Wake is a 1987 mini series about the exploits of Nancy Wake during World War Two.
7,Fitz Henry Lane House, The Fitz Henry Lane House is a historic house at 8 Harbor Loop Road on the harbor side of Rogers Street in Gloucester Massachusetts. The three story stone Gothic Revival building was built in 1849 by the artist Fitz Henry Lane and was his home until his death in 1865. The building now sits in a municipal park and has a commanding view of the harbor.The house was listed on the National Register of Historic Places in 1970.
11,Rhipiliopsis, In taxonomy Rhipiliopsis is a genus of algae specifically of the Udoteaceae.
12,Killing Angels, Killing Angels is an album by Swedish band Nine.
3,Benny Gallagher, Bernard Joseph Benny Gallagher (born 10 June 1945 Largs Ayrshire) is a Scottish singer-songwriter and multi-instrumentalist most famous as half of the popular duo Gallagher and Lyle.
12,Music for a New Society, Music for a New Society is a studio album by John Cale released in September 1982 by ZE Records and Island Records. With the suggestion from ZE Records owner Michael Zilkha Cale performed the album mostly improvised live at Sky Line Studios in New York City.
6,Balclutha (1886), Balclutha also known as Star of Alaska Pacific Queen or Sailing Ship Balclutha is a steel-hulled full rigged ship that was built in 1886. She is the only square rigged ship left in the San Francisco Bay area and is representative of several different commercial ventures including lumber salmon and grain. She is a U.S. National Historic Landmark and is currently preserved at the San Francisco Maritime National Historical Park in San Francisco California.
4,Jerry Tuite, Michael Jerome Jerry Tuite (December 27 1966 - December 6 2003) was an American professional wrestler best known by his ring names The Wall in World Championship Wrestling and Malice while performing for Total Nonstop Action Wrestling.
14,New York University Journal of International Law and Politics, The New York University Journal of International Law and Politics (Bluebook abbreviation: N.Y.U. J. Int'L L. & Pol.) is a student-edited international law review at New York University School of Law. The journal publishes articles essays notes and commentary that cover a wide range of topics in international and comparative law.
14,Malarvadi, Malarvadi is a children's magazine published by the Islamic Service Trust (IST) Kerala. It was started from Kochi in 1980 by Movement of Islam Trust Kodungallur.Its early contributors included prominent personalities in Malayalam literature such as MT Vasudevan Nair Thakazhi Sivasankara Pillai Vaikom Muhammad Basheer N. P. Mohammed C. Radhakrishnan and artists such as BM Gafoor Yesudasan Paul Kallanode and Venu.
13,Ark (2005 film), Ark is a 2005 computer-generated imagery film directed by Kenny Hwang animated by Digital Rim. It is the flagship project for both the director and the studio.Attempting to address the failures of Final Fantasy: The Spirits Within the film is an attempt to merge anime-style visuals with a faster action-oriented plot more palatable to Western audiences.
8,Sico River, The Sico River is a river in Honduras.
5,Eran Wickramaratne, Eran Wickramaratne MP is a Sri Lankan banker corporate executive. A current member of Parliament of Sri Lanka he was the former CEO of NDB Bank since 2001 to 2010 and was the former Chairman of the Information Communication Technology Agency (ICTA). He was the former Vice-President and Corporate Bank Head of Citibank Sri Lanka.
12,Re-Foc, re-Foc is the first widely available album by Mexican guitar duo Rodrigo y Gabriela released in 2002. Some songs are re-recorded versions of those that appeared on Foc while others were written for this album.
10,Proeulia guayacana, Proeulia guayacana is a species of moth of the Tortricidae family. It is found in Chile.
6,USS Douglas H. Fox (DD-779), USS Douglas H. Fox (DD-779) an Allen M. Sumner-class destroyer was named in honor of Lieutenant Commander Douglas H. Fox the commanding officer of the USS Barton (DD-599) who went down with his ship when she was torpedoed and sunk in the naval battle of Guadalcanal 13 November 1942.
11,Acaena rorida, Acaena rorida is a species of mat-forming perennial plant known only from grassy uplands on the Mangaohane Plateau in the northwestern part of the Ruahine Range on North Island New Zealand.Within its range this plant occurs in areas with moist stable soils such as in hollows in tussocklands and the floors of ravines.
3,Stuart Moore, Stuart Moore is a writer and editor of comic books and novels.
14,Journal Pioneer, The Journal Pioneer is a daily newspaper published Mondays through Saturdays in Summerside Prince Edward Island Canada.Two men named Bernard and Burtram founded the Summerside Journal a weekly newspaper in 1865. Under the leadership of A.R. Brennan the Journal began publishing daily on September 21 1939 in order to provide regular news of World War II. After the war the Journal cut down to twice-weekly publication then tri-weekly in 1949 after it closed a sister paper The P.E.
8,Alden (crater), Alden is a lunar crater that lies on the far side of the Moon between Hilbert to the north-northwest and Milne to the south-southeast. To the south-southwest lies Scaliger.Alden has a low rim that is overlain in the north and northeast by Alden C and the smaller Alden E. The rim is worn and eroded especially along the southern wall. The floor is somewhat irregular and pitted. The small crater Alden V lies just inside the north rim and is attached to Alden C to the east.
12,Late Night Tales: Matt Helders, Late Night Tales: Matt Helders is a DJ mix album mixed by Matt Helders (Arctic Monkeys) released as part of Late Night Tales / Another Late Night DJ series.
8,Augustine Volcano, Augustine Volcano is a central lava dome and lava flow complex surrounded by pyroclastic debris. It forms Augustine Island in southwestern Cook Inlet in the Kenai Peninsula Borough of southcentral coastal Alaska 280 kilometers (174 mi) southwest of Anchorage. Augustine Island has a land area of 83.872 square kilometers (32.4 sq mi) while West Island just off Augustine's western shores has 5.142 km2 (2.0 sq mi). The island is made up mainly of past eruption deposits.
11,Epilobium pygmaeum, Epilobium pygmaeum is a species of willowherb known by the common names Pygmy Willowherb and Smooth Boisduvalia. This plant is native to western North America from Baja California to Saskatchewan. It is a resident of vernal pools and mudflats. This is an annual rarely reaching half a meter in height. It is densely foliated in thick green leaves which are hairless lower on the stems and velvety to hairy toward the tips of the branches.
11,Senegalia modesta, Senegalia modesta (commonly called Phulai in Pakistan) is a species of Acacia commonly found in Pakistan India and Afghanistan.
7,Tyrell House, Thomas Tyrell House is at 133 Beale Street in Kingman Arizona. The home was built in 1897 and is an indigenous cottage. Mr. Tyrell built this house and lived in there for two years. His main profession was a painter. The property also has a pump house. This is the first house to have indoor plumbing. The house is on the National Register of Historic Places number 86001172.
14,Dragon Age: The Calling, Dragon Age: The Calling is a fantasy novel written by David Gaider based on the role-playing video game franchise Dragon Age and was released October 13 2009. It is a sequel to Dragon Age: The Stolen Throne and a prequel to Dragon Age: Origins published earlier the same year. The novel is set approximately fourteen years after the events of The Stolen Throne and focuses on King Maric Theirin a young Duncan and the Grey Wardens.
13,New Year's Eve (1929 film), 'New Year's Eve' is a lost 1929 film drama produced and distributed by Fox Film Corporation and starring Mary Astorand Charles Morton. Veteran Henry Lehrman who had worked with Mack Sennett and Charlie Chaplin is the director. Samuel L. Rothafel wrote the music for film. The Western Electric Sound System was used but a silent version was also made. Max Gold was an assistant director. This was not a talking film despite it being made in 1929. It was a silent with music and effects soundtrack.
14,Global and Planetary Change, Global and Planetary Change is a monthly peer-reviewed scientific journal covering research into the earth sciences particularly pertaining to changes in aspects thereof such as sea level and the chemical composition of the atmosphere. It has been published by Elsevier since it was established in 1989. The editors-in-chief are S.A.P.L. Cloetingh (Utrecht University) T.M. Cronin (United States Geological Survey) K. McGuffie (University of Technology Sydney) and H.
14,Studies in Comparative Religion, Studies in Comparative Religion was a quarterly academic journal published from 1963 to 1987 that contained essays on the spiritual practices and religious symbolism of the world's religions. The journal was notable for the number of prominent Perennialists who contributed to it. It was also notable for being the first English-language journal focused on the subject of traditional studies and comparative religion.
12,The Southern Way, The Southern Way is an EP by UGK which was released on cassette only in 1992. Side A is dubbed Short Side and Side B is dubbed Texas Side.
14,The Sweet Smell of Psychosis, The Sweet Smell of Psychosis is Will Self's first published Novella. It was printed by Bloomsbury Books in 1996 and features illustrations by Martin Rowson.Richard Hermes is a London journalist who lives a life of drudging days and cocaine fuelled nights. He falls in with a local media personality called Bell and his crew which includes the delightful and attractive Ursula. Ursula is also a media type writing a good sex column.
5,Khalil al-Marzooq, Khalil Al-Marzooq is a Bahraini Shi'a politician and former member of the Council of Representatives. During his time in office he served as first deputy chairman.On February 14 2011 Marzooq and 17 other MPs from Al Wefaq the main Shi'a Islamist opposition party resigned from their seats in parliament.
7,Linked Hybrid, Linked Hybrid is a building complex built in Beijing China designed by Steven Holl Architects. It was built from 2003 to 2009. Linked Hybrid consists of 644 apartments. It is recognized for its environmental design and uses geo-thermal wells for cooling and heating.
3,Greg Drudy, Greg Drudy is an American musician primarily known for playing drums in several indie rock and screamo bands in the 1990s and 2000s. Drudy started his career on drums practicing with the defunct band Quid Pro Quo in a Tampa warehouse next door to fellow warehouse owners Cannibal Corpse and Brutality. Drudy was the drummer for the bands Southpaw and Saetia and was the original drummer for the band Interpol. He left Interpol in 2000 and was replaced by Sam Fogarino.
9,Badancar, Badancar is a village in the Oio Region of northern Guinea-Bissau. It is located to the south of Dungal Guinea-Bissau.
10,Anthidium afghanistanicum, Anthidium afghanistanicum is a species of bee in the family Megachilidae the leaf-cutter carder or mason bees.
8,Hohlenbach, Hohlenbach is a river of Bavaria Germany.
13,The Cartel, The Cartel is a 2009 American documentary film by New Jersey-based television producer reporter and news anchor Bob Bowdon that covers the failures of public education in the United States by focusing on New Jersey which has the highest level of per-student education spending in the U.S.
10,Calliostoma benedicti, Calliostoma benedicti common name Springer's top shell is a species of sea snail a marine gastropod mollusk in the family Calliostomatidae.The species was named after Mr. J.S. Benedict formerly naturalist of the Albatross party
8,Brandy Hill Wales, Brandy Hill is a hill in South Wales between Pendine and Whitland and south-west of St. Clears. At the summit stand a radio transmitter and a trig point.
11,Bulbophyllum mandibulare, Bulbophyllum mandibulare is a species of orchid in the genus Bulbophyllum.
6,Burgess Model I, The Burgess Model I also known as the Burgess I-Scout and the Coast Defense Hydroaeroplane was a United States reconnaissance seaplane built for the Aeronautical Division U.S. Signal Corps in 1913. It was of conventional Wright Model B design but with an engine mounted amidships in an enclosed fuselage driving by chains two large pusher propellers mounted on the interplane struts. The undercarriage consisted of twin pontoons. The single example built S.C. No.
13,Tritiya Paksha, Tritiya Paksha (1931) is a Bengali short film directed by Amar Chowdhury. The film was made under Madan Theatres Ltd. banner.
4,Cheryl Pounder, Cheryl Pounder (born June 21 1976 in Montreal Quebec) is a women's ice hockey player. Pounder plays defense for the Canadian Women's Hockey League's Mississauga Chiefs and competed in the 2002 and 2006 Winter Olympics.Cheryl Pounder attended high school at St. Martin Secondary School in Mississauga Ontario. Cheryl Pounder was also the captain of the ice hockey team at Wilfrid Laurier University.
14,The Turner Diaries, The Turner Diaries is a novel written in 1978 by William Luther Pierce (former leader of the white nationalist organization National Alliance) under the pseudonym Andrew Macdonald. The Turner Diaries depicts a violent revolution in the United States which leads to the overthrow of the United States federal government nuclear war and ultimately to a race war leading to the extermination of all groups deemed by the author as impure such as Jews gay people and non-whites.
13,And the Violins Stopped Playing, And the Violins Stopped Playing (Polish: ''I Skrzypce Przestaly Grac'') is a 1988 Polish/American historical drama film written produced and directed by Alexander Ramati and based upon his bio-novel about an actual group of Romani people who were forced to flee from the persecutions performed by the Nazi regime at the height of the Porajmos (Romani holocaust) during World War II.
7,1000 Park Avenue, 1000 Park Avenue is an apartment building on the Upper East Side of the New York City borough of Manhattan. It is located at the northwest corner of the intersection of Park Avenue and East 84th Street.It was built in 1915-16 by the developers Bing & Bing from a design by Emery Roth. The brown brick structure is 13 stories tall with some Gothic-inspired stone and terra cotta decoration. Two carved figures in medieval dress near the main entrance are said to represent the Bing brothers.
1,Volzhanin, Volzhanin is a Russian holding company for leasing buses. The company is located in the city of Volzhsky Volgograd region and includes leasing company a distribution center a network of dealers and logistics center. The company was founded in 1993 the first five years leasing buses made by the Likinskiy Bus plant. Volzhanin was the first company in Russia to manufacture low-floor buses with aluminum body and electronic control systems.
13,Between the Lines (2008 film), Between the Lines is a 2008 documentary film that examines the Vietnam War and its effects on the surf culture.
12,Dugo znamo se, Dugo znamo se (trans. We Know Each Other for a Long Time) is the tenth studio album from Serbian and former Yugoslav rock band YU grupa. It is the band's first album since the release of the album Rim 1994 in 1995.
13,The Sixth Battalion, The Sixth Battalion is a 1998 documentary film that examines the history of Jewish soldiers who fought for the Slovak Republic which was closely aligned with Nazi Germany during World War II. The documentary combines interviews with archival footage and photographs of the Slovak Republic in order to provide a brief history of the state exploring the rise of antisemitism and how it affected these Jewish soldiers.
13,House at the End of the Street, House at the End of the Street is a 2012 American psychological horror thriller film directed by Mark Tonderai that stars Jennifer Lawrence Max Thieriot Gil Bellows and Elisabeth Shue.The film's plot revolves around a teenage girl named Elissa who along with her newly divorced mother Sarah moves to a new neighborhood only to discover that the house at the end of the street was the site of a gruesome double murder committed by a girl named Carrie Anne whom disappeared without a trace.
4,Elga Balk, Helga Balk is a South African pair skater. With partner Gavin MacPherson she won the silver medal at the 1977 World Junior Figure Skating Championships which were known as the I.S.U. Junior Figure Skating Championships at the time.
10,Olindiidae, The Olindiidae are a family of jellyfish in the order Limnomedusae. They have a polyp phase and a medusa phase. The polyps are generally small (1 mm) and solitary but a few species are colonial. They have a varying number of tentacles and can reproduce by budding. The medusae can grow to 6 cm (2.4 in). Centripetal canals may be present or absent and the radial canals are unbranched. The gonads are beside the radial canals except in Limnocnida where they are on the manubrium.
6,USS Herald (AM-101), USS Herald (AM-101) was an Auk-class minesweeper acquired by the United States Navy for the dangerous task of removing mines from minefields laid in the water to prevent ships from passing.Herald was named after the word herald which means a bearer of news.Herald was the second of two U.S. Navy ships named the Herald was a steel-hulled diesel-powered minesweeper launched by General Engineering & Dry Dock Co. Alameda California on 4 July 1942; and commissioned on 23 March 1943 Comdr.
14,Boundary-Layer Meteorology, Boundary-Layer Meteorology is an international monthly peer reviewed geoscience journal published by Springer Science+Business Media. It was founded in 1971 by R.E. Munn (Institute for Environmental Studies University of Toronto ON Canada). The current Editor for this publication is John R. Garratt (CSIRO Marine & Atmospheric Research).
12,Chasing After Ghosts, Chasing After Ghosts was the first full length studio album released by Sheffield based indie pop group The Crookes. Produced by Matt Peel the album was released by Fierce Panda Records on 28 March 2011. The album was supported by the release of four singles and received generally positive reviews in the media. Chasing After Ghosts marked the last recording involvement with The Crookes for founding member and guitarist Alex Saunders.
9,Al Jawah, Al Jawah is a village in Jizan Province in southwestern Saudi Arabia.
4,David Branch (fighter), David Branch (born December 22 1981) is an American mixed martial artist who competes in the middleweight division.
8,Gulf of Boni, The Gulf of Boni (also known as Bone Bay or the Bone Gulf) is a large inlet in the south of the island of Sulawesi Indonesia. To the west lies Sulawesi's South Peninsula and to the east is the island's South-east Peninsula. To the south the gulf opens into the Banda Sea.
9,Luther Michigan, Luther is a village in Lake County in the U.S. state of Michigan. The population was 318 at the 2010 census. The village is on the boundary between Newkirk Township on the west and Ellsworth Township on the east with about half of the village in each. It is the site of Hillsdale College's G.H. Gordon Biological Research Station.
13,Follow Your Star, Follow Your Star is a 1938 British musical film directed by Sinclair Hill and starring Arthur Tracy Belle Chrystall and Mark Daly. It was made at Pinewood Studios.
12,Sang My Thang, Sang My Thang is Toshinori Yonekura's 13th original studio album. The album came three years after his last full-length original album Roots Of Style. All songs appearing on the album are written and composed by Yonekura and the album was executively produced by pop singer and collaborator Maki Ohguro.
14,Shakespeare Quarterly, Shakespeare Quarterly is a peer-reviewed academic journal established in 1950 by the Shakespeare Association of America. It is now under the auspices of the Folger Shakespeare Library. Along with book and performance criticism Shakespeare Quarterly incorporates scholarly research and essays on Shakespeare and the age in which he worked.
11,Acianthera fabiobarrosii, Acianthera fabiobarrosii is a species of orchid.
6,USS Patrol No. 11 (SP-1106), USS Patrol No. 11 (SP-1106) often rendered as USS Patrol #11 was an armed motorboat that served in the United States Navy as a patrol vessel from 1917 to 1918.Patrol No. 11 was built as a private motorboat in 1912 by Murray and Tregurthe at Boston Massachusetts. The U.S. Navy leased her from her owner H. Galletin Pell of New York City on 27 August 1917 and commissioned her for service in World War I as USS Patrol No. 11 (SP-1106) on 20 September 1917.Patrol No.
12,Freedom (Mandisa album), Freedom is the second studio album by American Idol contestant Mandisa. The album was released on March 24 2009.The first single My Deliverer was released on January 27 2009. The second single was the track He Is With You which was released on March 3 2009.The third single will be the track Not Guilty set for release sometime in July 2009.On April 2 2009 the album debuted at number 83 on the Billboard 200 selling over 7000 copies in its first week.
13,Match Point, Match Point is a 2005 thriller film written and directed by Woody Allen which stars Jonathan Rhys Meyers Scarlett Johansson Emily Mortimer Matthew Goode Brian Cox and Penelope Wilton. Rhys Meyers' character marries into a wealthy family but his social position is threatened by his affair with his brother-in-law's ex-girlfriend played by Johansson and her subsequent pregnancy.
11,Neoregelia 'Verna', 'Verna' is a hybrid cultivar of the genus Neoregelia in the Bromeliad family.
13,30 Hari Mencari Cinta, 30 hari mencari cinta (roughly translated as Looking For Love in 30 Days) is a 2004 Indonesian romantic comedy film drama directed by Upi Avianto and starring Maria Agnes. Music for the film was composed by Andi Rianto.
11,Glossarion, Glossarion is a genus of flowering plants in the daisy family.
11,Pseudoeurystyles, Pseudoeurystyles is a genus of flowering plants from the orchid family Orchidaceae.
10,Progona venata, Progona venata is a moth in the Arctiidae family. It was described by Schaus in 1921. It is found in Paraguay.
2,Dr. Ambedkar Government Law College Chennai, Dr. Ambedkar Government Law College (often referred to as Government Law College or GLCChennai) is a law college located in Chennai Tamil Nadu India established in 1891. It was formerly known as Madras Law College. It is a prestigious institution that produced several legal luminaries of the 20th century. But today it stands neglected due to lack of funds and the arrival of many other law schools.
5,Randall Head, Randall Randy Head (born November 18 1968) is a Republican member of the Indiana Senate representing the 18th District since 2008. He was previously Deputy Prosecutor for Cass County.
2,MacKillop College Mornington, MacKillop Catholic College is a co-educational Catholic school for Grades 7 to 10 in the Hobart suburb of Mornington. The school is named in honour of the Australian educationalist Mary MacKillop. The school also has an association with the Christian Brothers founded by Edmund Rice. MacKillop and Rice are key sources of inspiration for the school community. The college is a member of the Sports Association of Tasmanian Independent Schools.
12,Most Known Unknown, Most Known Unknown is the eighth full-length studio album as well as the second platinum album from Memphis rap group Three 6 Mafia. It was released on September 25 2005 and is the follow-up to the 2003 album Da Unbreakables.
8,Ach (Ammer), The Ach is a tributary of the Ammer river in Bavaria Germany. It is the main river flowing through the Staffelsee.
11,Phacelia distans, Phacelia distans is a species of flowering plant in the borage family Boraginaceae known by the common names distant phacelia and distant scorpionweed. It is native to the southwestern United States and northern Mexico where it grows in many types of habitat including forest woodland chaparral grassland and meadows.
14,Child of a Dream, Child of a Dream (original title: Il figlio del sogno) is the first part of Valerio Massimo Manfredi's Alexander trilogy released in 1998. It narrates the childhood of Alexander the Great son of king Philip II of Macedon and queen Olympias.
7,Frank D. Layman Memorial, Frank D. Layman Memorial is a historic monument located at Hunter in Greene County New York. It was erected in 1901 to commemorate Frank D. Layman who died on the site of the memorial on August 10 1900 while fighting a forest fire. It is pyramidal in shape four sided and rises upward from a base approximately seven feet in diameter to approximately 11 feet.It was listed on the National Register of Historic Places in 2003.
10,Stigmatophora strigivenata, Stigmatophora strigivenata is a moth in the Arctiidae family. It was described by Hampson in 1894. It is found in Burma.
13,The Man Inside (1958 film), The Man Inside is a 1958 British crime adventure film brought to the screen by Warwick Film Productions. The screenplay from David Shaw was based on a novel by M.E.Chaber and was directed by John Gilling. The film was Bonar Colleano's last role before he died in a car accident.
7,Henry C. and Wilhemina Bruening House, The Henry C. and Wilhemina Bruening House is a house located in north Portland Oregon listed on the National Register of Historic Places.
4,Filippo Cristante, Filippo Cristante (born 20 April 1977 in San Vito al Tagliamento) is an Italian footballer who played for Portogruaro at Lega Pro.Equipped with powerful physically specializes in defensive roles of left right and central. Originally played by attacker but was soon moved to defense. He started his career in the amateurs where Sacilese already demonstrated his talent before moving to Serie B at Cosenza. Then follow the experiences with Padova and Ravenna still in B.
8,West Pennine Moors, The West Pennine Moors cover an area of approximately 90 square miles (230 km2) of moorland and reservoirs in Lancashire and Greater Manchester England.The West Pennine Moors are separated from the main Pennine range by the Irwell Valley. The moorland includes Withnell Anglezarke and Rivington Moors in the extreme west Darwen and Turton Moors Oswaldtwistle Moors and Holcombe Moors. These moors are lower in height than the main spine of the South Pennines.
6,Saab 210, The Saab 210 Draken (Dragon or Kite) was a scaled-down test bed for the double-delta concept in the development of the J 35 fighter. Although never officially named anything but Draken by Saab it soon became known by its unofficial nickname Lilldraken (Little Dragon or Little Kite) after the first flight of the prototype of the Saab 35. Its first flight was on 21 January 1952.
14,The Chocolate War, For the film adaptation see The Chocolate War (film).The Chocolate War is a young adult novel by American author Robert Cormier. First published in 1974 it was adapted into a film in 1988. Although it received mixed reviews at the time of its publication some reviewers have argued it is one of the best young adult novels of all time. Set at Trinity School a fictional Catholic high school the story primarily follows Jerry Renault as he challenges the school's cruel and ugly mob rule.
13,Bionicle 2: Legends of Metru Nui, Bionicle 2: Legends of Metru Nui is the second film in the Bionicle series and is a prequel to Bionicle: Mask of Light. This movie follows the 2004 storyline and was created using Lego elements from the Bionicle series and was released as a direct-to-DVD. It is also the last film in the franchise to be given a rating by the MPAA.
12,Ukulele Baby!, Ukulele Baby is the 37th The Wiggles album release featuring guest vocalist Rolf Harris and Hey Hey It's Saturday host Daryl Somers. It was released on the 5th of February 2011 & won the 2011 ARIA for Best Children's album.
14,Crossroads of Twilight, Crossroads of Twilight (abbreviated as CoT by fans) is the tenth book of The Wheel of Time fantasy series written by American author Robert Jordan. It was published by Tor Books and released on January 7 2003. Upon its release it immediately rose to the #1 position on the New York Times hardcover fiction bestseller list making it the third Wheel of Time book to reach the #1 position on that list.
13,Soft Cushions, Soft Cushions is a 1927 American comedy film directed by Edward F. Cline and featuring Boris Karloff. It is a comic take by actor and producer Douglas MacLean on the 1911 Kismet play and 1920 silent film. It's listed as being lost by Arne Andersen's Lost Film Files website.
7,Burgruine Saalegg, Saalegg Castle (German: Burg Saalegg) is a ruined castle in the state of Salzburg Austria.
14,In the Garden of Beasts, In the Garden of Beasts: Love Terror and an American Family in Hitler's Berlin is a 2011 non-fiction book by Erik Larson.
11,Bulbophyllum rutenbergianum, Bulbophyllum rutenbergianum is a species of orchid in the genus Bulbophyllum.
13,Amma Pillai, Amma Pillai is a 1990 Tamil Indian feature film directed by R.C.Shakthi and produced by M.K.Raju. It stars Ramki and Seetha in the lead roles.
14,Canadian Medical Association Journal, The Canadian Medical Association Journal is a peer-reviewed general medical journal published by the Canadian Medical Association (CMA). It publishes original clinical research analyses and reviews news practice updates and editorials.
